  idx        ==1700A==         |        ==1800A==         |        ==1900A==         |        ==2000A==         |        ==2100A==         |        ==2200A==         |        ==2300A==         |        ==2400A==         |        ==2500A==         |        ==2600A==         |        ==2700A==         |  
          Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |  
-----  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  
  219     0.6730     1.38e-10  |     0.5853     2.77e-10  |     0.4976     4.95e-10  |     0.4099     8.29e-10  |     0.3442     1.26e-09  |     0.2850     2.07e-09  |     0.2324     2.85e-09  |     0.1820     4.37e-09  |     0.1315     6.32e-09  |     0.0921     7.92e-09  |     0.0504     1.04e-08  |  
  220     0.6761     1.36e-10  |     0.5880     2.66e-10  |     0.4999     4.84e-10  |     0.4118     8.54e-10  |     0.3458     1.39e-09  |     0.2863     2.07e-09  |     0.2334     3.02e-09  |     0.1828     4.33e-09  |     0.1321     5.89e-09  |     0.0925     7.82e-09  |     0.0507     1.02e-08  |  
  221     0.6792     1.41e-10  |     0.5907     2.61e-10  |     0.5022     5.18e-10  |     0.4137     8.45e-10  |     0.3473     1.32e-09  |     0.2876     2.17e-09  |     0.2345     3.00e-09  |     0.1836     4.30e-09  |     0.1327     5.67e-09  |     0.0929     7.83e-09  |     0.0509     9.97e-09  |  
  222     0.6822     1.41e-10  |     0.5933     2.84e-10  |     0.5044     4.99e-10  |     0.4156     8.64e-10  |     0.3489     1.35e-09  |     0.2889     1.97e-09  |     0.2356     3.03e-09  |     0.1844     4.23e-09  |     0.1333     5.79e-09  |     0.0933     7.68e-09  |     0.0511     1.03e-08  |  
  223     0.6853     1.30e-10  |     0.5960     2.67e-10  |     0.5067     4.75e-10  |     0.4174     8.69e-10  |     0.3505     1.35e-09  |     0.2902     2.02e-09  |     0.2366     2.81e-09  |     0.1853     4.20e-09  |     0.1339     5.97e-09  |     0.0938     7.43e-09  |     0.0513     9.98e-09  |  
  224     0.6884     1.36e-10  |     0.5987     2.89e-10  |     0.5090     5.06e-10  |     0.4193     8.54e-10  |     0.3520     1.26e-09  |     0.2915     2.03e-09  |     0.2377     2.97e-09  |     0.1861     4.10e-09  |     0.1345     5.80e-09  |     0.0942     8.12e-09  |     0.0516     1.07e-08  |  
  225     0.6914     1.37e-10  |     0.6014     2.67e-10  |     0.5113     4.88e-10  |     0.4212     8.51e-10  |     0.3536     1.31e-09  |     0.2928     2.14e-09  |     0.2387     3.21e-09  |     0.1869     4.30e-09  |     0.1351     5.83e-09  |     0.0946     7.33e-09  |     0.0518     1.02e-08  |  
  226     0.6945     1.42e-10  |     0.6040     2.78e-10  |     0.5135     4.41e-10  |     0.4230     8.11e-10  |     0.3552     1.36e-09  |     0.2941     2.05e-09  |     0.2398     2.95e-09  |     0.1878     4.41e-09  |     0.1357     5.42e-09  |     0.0950     7.96e-09  |     0.0520     1.04e-08  |  
  227     0.6976     1.43e-10  |     0.6067     2.55e-10  |     0.5158     4.96e-10  |     0.4249     8.02e-10  |     0.3568     1.29e-09  |     0.2954     2.05e-09  |     0.2409     3.15e-09  |     0.1886     4.39e-09  |     0.1363     5.87e-09  |     0.0954     7.47e-09  |     0.0523     9.57e-09  |  
  228     0.7007     1.36e-10  |     0.6094     2.62e-10  |     0.5181     5.09e-10  |     0.4268     8.67e-10  |     0.3583     1.36e-09  |     0.2967     2.09e-09  |     0.2419     3.18e-09  |     0.1894     4.01e-09  |     0.1369     6.18e-09  |     0.0959     7.61e-09  |     0.0525     1.03e-08  |  
  229     0.7037     1.34e-10  |     0.6120     2.67e-10  |     0.5203     4.94e-10  |     0.4287     8.69e-10  |     0.3599     1.41e-09  |     0.2980     2.10e-09  |     0.2430     3.09e-09  |     0.1903     4.12e-09  |     0.1375     5.69e-09  |     0.0963     8.02e-09  |     0.0527     1.07e-08  |  
  230     0.7068     1.26e-10  |     0.6147     2.76e-10  |     0.5226     4.99e-10  |     0.4305     8.46e-10  |     0.3615     1.32e-09  |     0.2993     2.08e-09  |     0.2440     3.23e-09  |     0.1911     4.32e-09  |     0.1381     5.96e-09  |     0.0967     7.73e-09  |     0.0529     1.01e-08  |  
  231     0.7099     1.39e-10  |     0.6174     2.56e-10  |     0.5249     4.85e-10  |     0.4324     7.77e-10  |     0.3630     1.34e-09  |     0.3006     2.04e-09  |     0.2451     3.06e-09  |     0.1919     3.98e-09  |     0.1387     5.88e-09  |     0.0971     7.55e-09  |     0.0532     9.71e-09  |  
  232     0.7129     1.33e-10  |     0.6201     2.62e-10  |     0.5272     5.08e-10  |     0.4343     8.28e-10  |     0.3646     1.34e-09  |     0.3019     2.01e-09  |     0.2462     2.91e-09  |     0.1928     4.28e-09  |     0.1393     5.85e-09  |     0.0975     8.02e-09  |     0.0534     1.00e-08  |  
  233     0.7160     1.34e-10  |     0.6227     2.74e-10  |     0.5294     4.94e-10  |     0.4361     8.12e-10  |     0.3662     1.40e-09  |     0.3032     2.13e-09  |     0.2472     3.00e-09  |     0.1936     4.18e-09  |     0.1399     6.16e-09  |     0.0980     7.94e-09  |     0.0536     1.03e-08  |  
  234     0.7191     1.37e-10  |     0.6254     2.87e-10  |     0.5317     4.68e-10  |     0.4380     8.04e-10  |     0.3678     1.35e-09  |     0.3045     2.01e-09  |     0.2483     2.95e-09  |     0.1944     3.95e-09  |     0.1405     5.76e-09  |     0.0984     7.59e-09  |     0.0539     1.01e-08  |  
  235     0.7222     1.33e-10  |     0.6281     2.63e-10  |     0.5340     4.88e-10  |     0.4399     8.81e-10  |     0.3693     1.33e-09  |     0.3058     2.05e-09  |     0.2493     2.89e-09  |     0.1953     4.39e-09  |     0.1411     5.87e-09  |     0.0988     7.80e-09  |     0.0541     9.84e-09  |  
  236     0.7252     1.40e-10  |     0.6308     2.54e-10  |     0.5363     4.99e-10  |     0.4418     7.92e-10  |     0.3709     1.27e-09  |     0.3071     2.01e-09  |     0.2504     2.95e-09  |     0.1961     4.15e-09  |     0.1417     5.72e-09  |     0.0992     7.94e-09  |     0.0543     1.03e-08  |  
  237     0.7283     1.36e-10  |     0.6334     2.61e-10  |     0.5385     4.68e-10  |     0.4436     8.02e-10  |     0.3725     1.27e-09  |     0.3084     1.96e-09  |     0.2515     2.96e-09  |     0.1969     4.30e-09  |     0.1423     5.80e-09  |     0.0996     7.71e-09  |     0.0546     1.00e-08  |  
  238     0.7314     1.33e-10  |     0.6361     2.61e-10  |     0.5408     4.93e-10  |     0.4455     8.57e-10  |     0.3740     1.35e-09  |     0.3097     2.02e-09  |     0.2525     3.15e-09  |     0.1977     4.30e-09  |     0.1429     6.09e-09  |     0.1001     7.64e-09  |     0.0548     1.07e-08  |  
  239     0.7345     1.42e-10  |     0.6388     2.53e-10  |     0.5431     5.05e-10  |     0.4474     8.04e-10  |     0.3756     1.31e-09  |     0.3110     2.05e-09  |     0.2536     2.99e-09  |     0.1986     4.41e-09  |     0.1435     5.79e-09  |     0.1005     7.80e-09  |     0.0550     1.02e-08  |  
  240     0.7375     1.38e-10  |     0.6414     2.85e-10  |     0.5454     4.90e-10  |     0.4492     7.91e-10  |     0.3772     1.30e-09  |     0.3123     2.02e-09  |     0.2546     2.98e-09  |     0.1994     4.29e-09  |     0.1441     5.92e-09  |     0.1009     7.90e-09  |     0.0553     1.02e-08  |  
  241     0.7406     1.35e-10  |     0.6441     2.65e-10  |     0.5476     4.96e-10  |     0.4511     8.66e-10  |     0.3787     1.25e-09  |     0.3136     1.90e-09  |     0.2557     2.74e-09  |     0.2002     4.37e-09  |     0.1447     6.02e-09  |     0.1013     7.49e-09  |     0.0555     1.04e-08  |  
  242     0.7437     1.34e-10  |     0.6468     2.85e-10  |     0.5499     5.00e-10  |     0.4530     8.52e-10  |     0.3803     1.33e-09  |     0.3149     1.92e-09  |     0.2568     3.15e-09  |     0.2011     4.15e-09  |     0.1454     5.88e-09  |     0.1017     7.82e-09  |     0.0557     1.03e-08  |  
  243     0.7468     1.37e-10  |     0.6495     2.82e-10  |     0.5522     5.08e-10  |     0.4549     8.08e-10  |     0.3819     1.31e-09  |     0.3162     2.07e-09  |     0.2578     2.97e-09  |     0.2019     4.14e-09  |     0.1459     5.97e-09  |     0.1022     8.07e-09  |     0.0559     1.05e-08  |  
  244     0.7498     1.39e-10  |     0.6521     2.70e-10  |     0.5544     4.75e-10  |     0.4567     8.22e-10  |     0.3835     1.32e-09  |     0.3175     2.04e-09  |     0.2589     2.98e-09  |     0.2027     4.16e-09  |     0.1466     5.59e-09  |     0.1026     7.72e-09  |     0.0562     1.04e-08  |  
  245     0.7529     1.37e-10  |     0.6548     2.54e-10  |     0.5567     4.73e-10  |     0.4586     8.42e-10  |     0.3850     1.35e-09  |     0.3188     1.96e-09  |     0.2600     2.82e-09  |     0.2036     4.09e-09  |     0.1472     5.88e-09  |     0.1030     8.03e-09  |     0.0564     1.03e-08  |  
  246     0.7560     1.39e-10  |     0.6575     2.62e-10  |     0.5590     4.59e-10  |     0.4605     8.00e-10  |     0.3866     1.33e-09  |     0.3201     2.12e-09  |     0.2610     2.97e-09  |     0.2044     4.09e-09  |     0.1477     5.78e-09  |     0.1034     7.32e-09  |     0.0566     1.07e-08  |  
  247     0.7591     1.38e-10  |     0.6602     2.75e-10  |     0.5613     4.82e-10  |     0.4623     8.33e-10  |     0.3882     1.38e-09  |     0.3214     1.88e-09  |     0.2621     2.98e-09  |     0.2052     4.21e-09  |     0.1484     5.82e-09  |     0.1038     7.68e-09  |     0.0569     1.05e-08  |  
  248     0.7621     1.38e-10  |     0.6628     2.82e-10  |     0.5635     4.80e-10  |     0.4642     8.47e-10  |     0.3897     1.31e-09  |     0.3227     1.95e-09  |     0.2631     3.06e-09  |     0.2061     4.39e-09  |     0.1489     5.36e-09  |     0.1043     7.91e-09  |     0.0571     1.03e-08  |  
  249     0.7652     1.34e-10  |     0.6655     2.41e-10  |     0.5658     4.47e-10  |     0.4661     8.10e-10  |     0.3913     1.36e-09  |     0.3240     2.03e-09  |     0.2642     2.96e-09  |     0.2069     4.35e-09  |     0.1495     5.48e-09  |     0.1047     7.58e-09  |     0.0573     1.02e-08  |  
  250     0.7683     1.33e-10  |     0.6682     2.75e-10  |     0.5681     4.88e-10  |     0.4680     8.17e-10  |     0.3929     1.31e-09  |     0.3253     2.13e-09  |     0.2653     2.97e-09  |     0.2077     4.23e-09  |     0.1502     5.63e-09  |     0.1051     7.51e-09  |     0.0576     9.63e-09  |  
  251     0.7713     1.34e-10  |     0.6708     2.59e-10  |     0.5703     4.91e-10  |     0.4698     8.49e-10  |     0.3945     1.35e-09  |     0.3266     2.04e-09  |     0.2663     2.94e-09  |     0.2085     4.27e-09  |     0.1507     6.10e-09  |     0.1055     7.50e-09  |     0.0578     1.06e-08  |  
  252     0.7744     1.25e-10  |     0.6735     2.73e-10  |     0.5726     4.88e-10  |     0.4717     7.70e-10  |     0.3960     1.39e-09  |     0.3279     1.97e-09  |     0.2674     3.11e-09  |     0.2094     4.30e-09  |     0.1514     5.66e-09  |     0.1060     7.80e-09  |     0.0580     9.60e-09  |  
  253     0.7775     1.33e-10  |     0.6762     2.65e-10  |     0.5749     4.81e-10  |     0.4736     8.32e-10  |     0.3976     1.37e-09  |     0.3292     1.98e-09  |     0.2685     3.06e-09  |     0.2102     4.23e-09  |     0.1520     5.78e-09  |     0.1064     7.75e-09  |     0.0583     9.63e-09  |  
  254     0.7806     1.35e-10  |     0.6789     2.78e-10  |     0.5772     4.65e-10  |     0.4755     7.99e-10  |     0.3992     1.35e-09  |     0.3305     2.10e-09  |     0.2695     3.02e-09  |     0.2110     4.06e-09  |     0.1525     6.14e-09  |     0.1068     7.61e-09  |     0.0585     9.67e-09  |  
  255     0.7836     1.28e-10  |     0.6815     2.82e-10  |     0.5794     5.05e-10  |     0.4773     8.21e-10  |     0.4007     1.27e-09  |     0.3318     2.03e-09  |     0.2706     2.85e-09  |     0.2119     4.23e-09  |     0.1532     5.71e-09  |     0.1072     7.96e-09  |     0.0587     1.05e-08  |  
  256     0.7867     1.35e-10  |     0.6842     2.77e-10  |     0.5817     4.78e-10  |     0.4792     8.03e-10  |     0.4023     1.37e-09  |     0.3331     1.90e-09  |     0.2716     2.91e-09  |     0.2127     4.31e-09  |     0.1537     5.71e-09  |     0.1076     7.46e-09  |     0.0589     9.68e-09  |  
  257     0.7898     1.41e-10  |     0.6869     2.55e-10  |     0.5840     4.45e-10  |     0.4811     8.13e-10  |     0.4039     1.25e-09  |     0.3344     1.94e-09  |     0.2727     2.90e-09  |     0.2135     4.01e-09  |     0.1543     5.81e-09  |     0.1080     7.73e-09  |     0.0592     1.05e-08  |  
  258     0.7929     1.38e-10  |     0.6895     2.70e-10  |     0.5863     4.91e-10  |     0.4829     8.00e-10  |     0.4055     1.33e-09  |     0.3357     2.05e-09  |     0.2737     2.98e-09  |     0.2144     4.01e-09  |     0.1550     5.56e-09  |     0.1085     7.61e-09  |     0.0594     9.64e-09  |  
  259     0.7959     1.30e-10  |     0.6922     2.56e-10  |     0.5885     4.93e-10  |     0.4848     7.62e-10  |     0.4070     1.29e-09  |     0.3370     1.93e-09  |     0.2748     3.06e-09  |     0.2152     4.13e-09  |     0.1556     5.41e-09  |     0.1089     7.97e-09  |     0.0596     9.78e-09  |  
  260     0.7990     1.42e-10  |     0.6949     2.37e-10  |     0.5908     4.76e-10  |     0.4867     7.79e-10  |     0.4086     1.35e-09  |     0.3383     1.94e-09  |     0.2759     3.00e-09  |     0.2160     4.15e-09  |     0.1562     5.73e-09  |     0.1093     8.02e-09  |     0.0599     9.76e-09  |  
  261     0.8021     1.34e-10  |     0.6976     2.54e-10  |     0.5931     5.04e-10  |     0.4886     8.12e-10  |     0.4102     1.26e-09  |     0.3396     1.93e-09  |     0.2769     2.98e-09  |     0.2168     4.09e-09  |     0.1568     6.11e-09  |     0.1097     8.13e-09  |     0.0601     9.96e-09  |  
  262     0.8052     1.30e-10  |     0.7002     2.50e-10  |     0.5953     4.67e-10  |     0.4904     8.63e-10  |     0.4118     1.27e-09  |     0.3409     2.13e-09  |     0.2780     2.88e-09  |     0.2177     3.94e-09  |     0.1574     5.74e-09  |     0.1101     7.50e-09  |     0.0603     9.89e-09  |  
  263     0.8082     1.29e-10  |     0.7029     2.68e-10  |     0.5976     4.96e-10  |     0.4923     8.02e-10  |     0.4133     1.28e-09  |     0.3422     1.98e-09  |     0.2791     3.01e-09  |     0.2185     4.32e-09  |     0.1580     5.75e-09  |     0.1106     7.68e-09  |     0.0605     1.03e-08  |  
  264     0.8113     1.33e-10  |     0.7056     2.61e-10  |     0.5999     4.84e-10  |     0.4942     8.10e-10  |     0.4149     1.30e-09  |     0.3435     2.09e-09  |     0.2801     2.98e-09  |     0.2193     4.09e-09  |     0.1586     5.84e-09  |     0.1110     7.79e-09  |     0.0608     1.06e-08  |  
  265     0.8144     1.36e-10  |     0.7083     2.55e-10  |     0.6021     4.82e-10  |     0.4960     8.47e-10  |     0.4165     1.29e-09  |     0.3448     1.97e-09  |     0.2812     2.95e-09  |     0.2202     4.08e-09  |     0.1592     5.58e-09  |     0.1114     7.45e-09  |     0.0610     1.02e-08  |  
  266     0.8174     1.36e-10  |     0.7109     2.61e-10  |     0.6044     4.62e-10  |     0.4979     8.16e-10  |     0.4180     1.31e-09  |     0.3462     1.95e-09  |     0.2822     3.04e-09  |     0.2210     4.27e-09  |     0.1598     5.84e-09  |     0.1118     7.61e-09  |     0.0612     1.02e-08  |  
  267     0.8205     1.39e-10  |     0.7136     2.70e-10  |     0.6067     4.67e-10  |     0.4998     8.17e-10  |     0.4196     1.30e-09  |     0.3474     1.89e-09  |     0.2833     2.73e-09  |     0.2218     4.27e-09  |     0.1604     5.46e-09  |     0.1123     7.56e-09  |     0.0615     1.04e-08  |  
  268     0.8236     1.34e-10  |     0.7163     2.59e-10  |     0.6090     4.64e-10  |     0.5017     8.46e-10  |     0.4212     1.28e-09  |     0.3488     1.97e-09  |     0.2844     2.99e-09  |     0.2227     4.10e-09  |     0.1610     5.60e-09  |     0.1127     7.66e-09  |     0.0617     1.05e-08  |  
  269     0.8267     1.36e-10  |     0.7189     2.77e-10  |     0.6112     4.86e-10  |     0.5035     8.23e-10  |     0.4228     1.34e-09  |     0.3500     1.96e-09  |     0.2854     2.78e-09  |     0.2235     4.30e-09  |     0.1616     6.05e-09  |     0.1131     7.41e-09  |     0.0619     9.97e-09  |  
  270     0.8297     1.26e-10  |     0.7216     2.49e-10  |     0.6135     4.84e-10  |     0.5054     8.14e-10  |     0.4243     1.36e-09  |     0.3513     1.93e-09  |     0.2865     2.87e-09  |     0.2243     4.05e-09  |     0.1622     5.75e-09  |     0.1135     7.64e-09  |     0.0622     1.01e-08  |  
  271     0.8328     1.31e-10  |     0.7243     2.51e-10  |     0.6158     4.90e-10  |     0.5073     8.18e-10  |     0.4259     1.26e-09  |     0.3527     1.94e-09  |     0.2875     2.86e-09  |     0.2252     4.22e-09  |     0.1628     5.91e-09  |     0.1139     7.92e-09  |     0.0624     1.01e-08  |  
  272     0.8359     1.29e-10  |     0.7270     2.66e-10  |     0.6181     4.86e-10  |     0.5091     8.24e-10  |     0.4275     1.35e-09  |     0.3539     1.95e-09  |     0.2886     2.86e-09  |     0.2260     4.01e-09  |     0.1634     6.03e-09  |     0.1143     7.77e-09  |     0.0626     1.00e-08  |  
  273     0.8389     1.30e-10  |     0.7296     2.49e-10  |     0.6203     4.87e-10  |     0.5110     7.80e-10  |     0.4290     1.36e-09  |     0.3553     1.94e-09  |     0.2897     3.08e-09  |     0.2268     4.21e-09  |     0.1640     5.69e-09  |     0.1148     7.41e-09  |     0.0629     1.05e-08  |  
  274     0.8420     1.33e-10  |     0.7323     2.68e-10  |     0.6226     4.54e-10  |     0.5129     7.76e-10  |     0.4306     1.27e-09  |     0.3566     2.09e-09  |     0.2907     2.88e-09  |     0.2276     4.19e-09  |     0.1646     5.62e-09  |     0.1152     7.35e-09  |     0.0631     9.10e-09  |  
  275     0.8451     1.34e-10  |     0.7350     2.65e-10  |     0.6249     5.03e-10  |     0.5148     8.43e-10  |     0.4322     1.23e-09  |     0.3579     2.00e-09  |     0.2918     2.97e-09  |     0.2285     4.09e-09  |     0.1652     5.72e-09  |     0.1156     7.03e-09  |     0.0633     9.89e-09  |  
  276     0.8482     1.41e-10  |     0.7377     2.52e-10  |     0.6271     4.92e-10  |     0.5166     8.19e-10  |     0.4338     1.26e-09  |     0.3592     1.86e-09  |     0.2928     2.93e-09  |     0.2293     4.21e-09  |     0.1658     5.88e-09  |     0.1160     7.61e-09  |     0.0635     9.48e-09  |  
  277     0.8512     1.31e-10  |     0.7403     2.62e-10  |     0.6294     4.81e-10  |     0.5185     8.15e-10  |     0.4353     1.28e-09  |     0.3605     2.00e-09  |     0.2939     2.95e-09  |     0.2301     4.05e-09  |     0.1664     5.65e-09  |     0.1165     7.62e-09  |     0.0638     9.91e-09  |  
  278     0.8543     1.35e-10  |     0.7430     2.44e-10  |     0.6317     4.91e-10  |     0.5204     7.93e-10  |     0.4369     1.39e-09  |     0.3618     2.00e-09  |     0.2950     3.06e-09  |     0.2310     4.40e-09  |     0.1670     5.76e-09  |     0.1169     7.75e-09  |     0.0640     9.61e-09  |  
  279     0.8574     1.28e-10  |     0.7457     2.60e-10  |     0.6340     4.86e-10  |     0.5222     8.29e-10  |     0.4385     1.28e-09  |     0.3631     1.92e-09  |     0.2960     2.76e-09  |     0.2318     4.32e-09  |     0.1676     5.85e-09  |     0.1173     7.79e-09  |     0.0642     9.91e-09  |  
  280     0.8605     1.38e-10  |     0.7483     2.53e-10  |     0.6362     4.69e-10  |     0.5241     7.68e-10  |     0.4400     1.32e-09  |     0.3644     2.05e-09  |     0.2971     2.87e-09  |     0.2326     4.06e-09  |     0.1682     6.11e-09  |     0.1177     7.62e-09  |     0.0645     9.10e-09  |  
  281     0.8635     1.24e-10  |     0.7510     2.65e-10  |     0.6385     4.52e-10  |     0.5260     8.27e-10  |     0.4416     1.34e-09  |     0.3657     1.96e-09  |     0.2982     2.87e-09  |     0.2335     4.15e-09  |     0.1688     5.51e-09  |     0.1181     7.54e-09  |     0.0647     1.01e-08  |  
  282     0.8666     1.34e-10  |     0.7537     2.59e-10  |     0.6408     4.82e-10  |     0.5279     7.81e-10  |     0.4432     1.24e-09  |     0.3670     1.92e-09  |     0.2992     2.82e-09  |     0.2343     4.06e-09  |     0.1694     5.83e-09  |     0.1186     7.43e-09  |     0.0649     1.00e-08  |  
  283     0.8697     1.26e-10  |     0.7564     2.77e-10  |     0.6431     4.70e-10  |     0.5297     7.51e-10  |     0.4447     1.27e-09  |     0.3683     1.98e-09  |     0.3003     2.95e-09  |     0.2351     4.25e-09  |     0.1700     5.52e-09  |     0.1190     7.34e-09  |     0.0652     9.66e-09  |  
  284     0.8728     1.30e-10  |     0.7590     2.48e-10  |     0.6453     4.75e-10  |     0.5316     8.18e-10  |     0.4463     1.38e-09  |     0.3696     1.93e-09  |     0.3013     2.79e-09  |     0.2360     4.20e-09  |     0.1706     5.62e-09  |     0.1194     7.43e-09  |     0.0654     1.01e-08  |  
  285     0.8758     1.29e-10  |     0.7617     2.75e-10  |     0.6476     4.52e-10  |     0.5335     8.16e-10  |     0.4479     1.29e-09  |     0.3709     2.02e-09  |     0.3024     3.00e-09  |     0.2368     4.06e-09  |     0.1712     5.53e-09  |     0.1198     7.57e-09  |     0.0656     1.01e-08  |  
  286     0.8789     1.38e-10  |     0.7644     2.65e-10  |     0.6499     4.49e-10  |     0.5354     8.26e-10  |     0.4495     1.29e-09  |     0.3722     1.97e-09  |     0.3035     2.98e-09  |     0.2376     4.02e-09  |     0.1718     5.69e-09  |     0.1202     7.53e-09  |     0.0659     9.86e-09  |  
  287     0.8820     1.35e-10  |     0.7671     2.52e-10  |     0.6521     4.39e-10  |     0.5372     8.13e-10  |     0.4510     1.26e-09  |     0.3735     1.99e-09  |     0.3045     2.86e-09  |     0.2384     4.33e-09  |     0.1724     5.78e-09  |     0.1207     7.26e-09  |     0.0661     9.91e-09  |  
  288     0.8851     1.35e-10  |     0.7697     2.64e-10  |     0.6544     4.46e-10  |     0.5391     8.26e-10  |     0.4526     1.28e-09  |     0.3748     1.89e-09  |     0.3056     2.97e-09  |     0.2393     4.13e-09  |     0.1730     5.59e-09  |     0.1211     7.61e-09  |     0.0663     9.58e-09  |  
  289     0.8881     1.39e-10  |     0.7724     2.53e-10  |     0.6567     4.48e-10  |     0.5410     8.52e-10  |     0.4542     1.29e-09  |     0.3761     1.95e-09  |     0.3066     2.84e-09  |     0.2401     4.22e-09  |     0.1736     5.66e-09  |     0.1215     7.37e-09  |     0.0665     9.34e-09  |  
  290     0.8912     1.31e-10  |     0.7751     2.62e-10  |     0.6590     4.76e-10  |     0.5428     7.92e-10  |     0.4558     1.23e-09  |     0.3774     1.97e-09  |     0.3077     2.88e-09  |     0.2409     3.93e-09  |     0.1742     5.75e-09  |     0.1219     7.57e-09  |     0.0668     9.85e-09  |  
  291     0.8943     1.29e-10  |     0.7778     2.48e-10  |     0.6612     4.94e-10  |     0.5447     7.93e-10  |     0.4573     1.32e-09  |     0.3787     2.01e-09  |     0.3088     2.91e-09  |     0.2418     4.14e-09  |     0.1748     5.53e-09  |     0.1223     7.48e-09  |     0.0670     9.51e-09  |  
  292     0.8973     1.31e-10  |     0.7804     2.67e-10  |     0.6635     4.52e-10  |     0.5466     7.89e-10  |     0.4589     1.25e-09  |     0.3800     1.97e-09  |     0.3098     2.78e-09  |     0.2426     3.83e-09  |     0.1754     5.66e-09  |     0.1228     7.57e-09  |     0.0672     9.97e-09  |  
  293     0.9004     1.38e-10  |     0.7831     2.57e-10  |     0.6658     4.66e-10  |     0.5485     7.71e-10  |     0.4605     1.36e-09  |     0.3813     2.01e-09  |     0.3109     2.98e-09  |     0.2434     4.00e-09  |     0.1760     5.74e-09  |     0.1232     7.72e-09  |     0.0675     9.72e-09  |  
  294     0.9035     1.39e-10  |     0.7858     2.58e-10  |     0.6681     4.81e-10  |     0.5503     8.15e-10  |     0.4620     1.31e-09  |     0.3826     1.97e-09  |     0.3120     2.98e-09  |     0.2443     4.00e-09  |     0.1766     5.27e-09  |     0.1236     7.01e-09  |     0.0677     8.93e-09  |  
  295     0.9066     1.33e-10  |     0.7884     2.55e-10  |     0.6703     4.48e-10  |     0.5522     7.88e-10  |     0.4636     1.26e-09  |     0.3839     1.92e-09  |     0.3130     2.91e-09  |     0.2451     3.91e-09  |     0.1772     5.63e-09  |     0.1240     7.51e-09  |     0.0679     9.30e-09  |  
  296     0.9096     1.25e-10  |     0.7911     2.60e-10  |     0.6726     4.70e-10  |     0.5541     8.21e-10  |     0.4652     1.28e-09  |     0.3852     1.94e-09  |     0.3141     2.91e-09  |     0.2459     4.20e-09  |     0.1778     5.78e-09  |     0.1244     7.74e-09  |     0.0682     9.64e-09  |  
  297     0.9127     1.31e-10  |     0.7938     2.40e-10  |     0.6749     4.76e-10  |     0.5560     8.09e-10  |     0.4668     1.35e-09  |     0.3865     1.90e-09  |     0.3151     2.70e-09  |     0.2468     4.28e-09  |     0.1784     5.55e-09  |     0.1249     7.45e-09  |     0.0684     9.15e-09  |  
  298     0.9158     1.27e-10  |     0.7965     2.63e-10  |     0.6771     4.76e-10  |     0.5578     7.85e-10  |     0.4683     1.32e-09  |     0.3878     1.87e-09  |     0.3162     2.87e-09  |     0.2476     4.02e-09  |     0.1790     5.48e-09  |     0.1253     7.35e-09  |     0.0686     9.89e-09  |  
  299     0.9188     1.23e-10  |     0.7991     2.46e-10  |     0.6794     4.66e-10  |     0.5597     7.94e-10  |     0.4699     1.27e-09  |     0.3891     1.97e-09  |     0.3173     2.75e-09  |     0.2484     4.00e-09  |     0.1796     5.63e-09  |     0.1257     7.13e-09  |     0.0688     9.22e-09  |  
  300     0.9219     1.25e-10  |     0.8018     2.67e-10  |     0.6817     4.65e-10  |     0.5616     7.70e-10  |     0.4715     1.21e-09  |     0.3904     2.02e-09  |     0.3183     2.81e-09  |     0.2492     3.99e-09  |     0.1802     5.57e-09  |     0.1261     8.03e-09  |     0.0691     9.51e-09  |  
  301     0.9250     1.32e-10  |     0.8045     2.51e-10  |     0.6839     4.76e-10  |     0.5634     7.72e-10  |     0.4730     1.27e-09  |     0.3917     1.89e-09  |     0.3194     2.83e-09  |     0.2501     3.90e-09  |     0.1808     5.73e-09  |     0.1265     7.06e-09  |     0.0693     9.64e-09  |  
  302     0.9281     1.32e-10  |     0.8072     2.51e-10  |     0.6862     4.91e-10  |     0.5653     7.79e-10  |     0.4746     1.27e-09  |     0.3930     1.83e-09  |     0.3204     3.04e-09  |     0.2509     4.06e-09  |     0.1814     5.49e-09  |     0.1270     7.47e-09  |     0.0695     9.28e-09  |  
  303     0.9311     1.32e-10  |     0.8098     2.56e-10  |     0.6885     4.76e-10  |     0.5672     7.72e-10  |     0.4762     1.35e-09  |     0.3943     1.89e-09  |     0.3215     2.92e-09  |     0.2517     3.89e-09  |     0.1820     5.65e-09  |     0.1274     7.37e-09  |     0.0698     9.40e-09  |  
  304     0.9342     1.30e-10  |     0.8125     2.70e-10  |     0.6908     4.64e-10  |     0.5690     7.55e-10  |     0.4778     1.31e-09  |     0.3956     1.88e-09  |     0.3226     2.82e-09  |     0.2526     4.01e-09  |     0.1826     5.92e-09  |     0.1278     7.48e-09  |     0.0700     9.41e-09  |  
