  idx        ==1700A==         |        ==1800A==         |        ==1900A==         |        ==2000A==         |        ==2100A==         |        ==2200A==         |        ==2300A==         |        ==2400A==         |        ==2500A==         |        ==2600A==         |        ==2700A==         |  
          Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |  
-----  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  
   17     0.0522     1.41e-10  |     0.0454     2.92e-10  |     0.0386     5.18e-10  |     0.0318     9.20e-10  |     0.0267     1.56e-09  |     0.0221     2.33e-09  |     0.0180     3.28e-09  |     0.0141     4.54e-09  |     0.0102     6.21e-09  |     0.0072     8.39e-09  |     0.0039     1.02e-08  |  
   18     0.0553     1.45e-10  |     0.0481     2.91e-10  |     0.0409     5.25e-10  |     0.0337     8.88e-10  |     0.0283     1.46e-09  |     0.0234     2.24e-09  |     0.0191     3.30e-09  |     0.0149     4.61e-09  |     0.0108     6.06e-09  |     0.0076     8.04e-09  |     0.0041     1.05e-08  |  
   19     0.0584     1.50e-10  |     0.0508     2.99e-10  |     0.0432     4.92e-10  |     0.0356     8.45e-10  |     0.0299     1.42e-09  |     0.0247     2.23e-09  |     0.0202     3.21e-09  |     0.0158     4.54e-09  |     0.0114     6.23e-09  |     0.0080     8.43e-09  |     0.0044     1.09e-08  |  
   20     0.0615     1.51e-10  |     0.0534     3.04e-10  |     0.0454     5.36e-10  |     0.0374     8.75e-10  |     0.0314     1.38e-09  |     0.0260     2.15e-09  |     0.0212     3.42e-09  |     0.0166     4.50e-09  |     0.0120     6.32e-09  |     0.0084     8.39e-09  |     0.0046     1.08e-08  |  
   21     0.0645     1.41e-10  |     0.0561     2.94e-10  |     0.0477     5.42e-10  |     0.0393     8.97e-10  |     0.0330     1.48e-09  |     0.0273     2.20e-09  |     0.0223     3.04e-09  |     0.0175     4.42e-09  |     0.0126     6.13e-09  |     0.0088     8.66e-09  |     0.0048     1.10e-08  |  
   22     0.0676     1.56e-10  |     0.0588     2.97e-10  |     0.0500     5.45e-10  |     0.0412     9.07e-10  |     0.0346     1.43e-09  |     0.0286     2.37e-09  |     0.0233     3.13e-09  |     0.0183     4.42e-09  |     0.0132     6.19e-09  |     0.0092     8.51e-09  |     0.0051     1.10e-08  |  
   23     0.0707     1.54e-10  |     0.0615     2.77e-10  |     0.0523     5.28e-10  |     0.0430     8.82e-10  |     0.0362     1.41e-09  |     0.0299     2.28e-09  |     0.0244     3.32e-09  |     0.0191     4.42e-09  |     0.0138     6.17e-09  |     0.0097     8.15e-09  |     0.0053     1.08e-08  |  
   24     0.0737     1.49e-10  |     0.0641     2.90e-10  |     0.0545     5.09e-10  |     0.0449     8.79e-10  |     0.0377     1.41e-09  |     0.0312     2.28e-09  |     0.0255     3.20e-09  |     0.0199     4.68e-09  |     0.0144     6.16e-09  |     0.0101     8.31e-09  |     0.0055     1.12e-08  |  
   25     0.0768     1.38e-10  |     0.0668     2.67e-10  |     0.0568     5.51e-10  |     0.0468     9.10e-10  |     0.0393     1.43e-09  |     0.0325     2.19e-09  |     0.0265     3.14e-09  |     0.0208     4.62e-09  |     0.0150     6.34e-09  |     0.0105     7.92e-09  |     0.0058     1.12e-08  |  
   26     0.0799     1.44e-10  |     0.0695     2.94e-10  |     0.0591     5.35e-10  |     0.0487     9.32e-10  |     0.0409     1.39e-09  |     0.0338     2.23e-09  |     0.0276     2.89e-09  |     0.0216     4.20e-09  |     0.0156     6.44e-09  |     0.0109     8.27e-09  |     0.0060     1.12e-08  |  
   27     0.0830     1.47e-10  |     0.0722     3.04e-10  |     0.0614     5.07e-10  |     0.0505     8.86e-10  |     0.0424     1.47e-09  |     0.0351     2.25e-09  |     0.0286     3.22e-09  |     0.0224     4.51e-09  |     0.0162     6.23e-09  |     0.0114     7.72e-09  |     0.0062     1.08e-08  |  
   28     0.0861     1.52e-10  |     0.0748     2.90e-10  |     0.0636     4.83e-10  |     0.0524     8.63e-10  |     0.0440     1.45e-09  |     0.0364     2.07e-09  |     0.0297     3.04e-09  |     0.0233     4.65e-09  |     0.0168     6.47e-09  |     0.0118     8.84e-09  |     0.0065     1.15e-08  |  
   29     0.0891     1.49e-10  |     0.0775     2.76e-10  |     0.0659     5.08e-10  |     0.0543     8.60e-10  |     0.0456     1.43e-09  |     0.0377     2.20e-09  |     0.0308     3.33e-09  |     0.0241     4.67e-09  |     0.0174     6.23e-09  |     0.0122     7.98e-09  |     0.0067     1.06e-08  |  
   30     0.0922     1.47e-10  |     0.0802     2.95e-10  |     0.0682     5.28e-10  |     0.0562     9.21e-10  |     0.0471     1.36e-09  |     0.0390     2.29e-09  |     0.0318     3.29e-09  |     0.0249     4.50e-09  |     0.0180     6.45e-09  |     0.0126     8.31e-09  |     0.0069     1.13e-08  |  
   31     0.0953     1.43e-10  |     0.0828     2.99e-10  |     0.0704     5.18e-10  |     0.0580     9.58e-10  |     0.0487     1.39e-09  |     0.0403     2.15e-09  |     0.0329     3.15e-09  |     0.0258     4.46e-09  |     0.0186     6.11e-09  |     0.0130     7.98e-09  |     0.0071     1.07e-08  |  
   32     0.0983     1.47e-10  |     0.0855     2.78e-10  |     0.0727     5.33e-10  |     0.0599     9.22e-10  |     0.0503     1.33e-09  |     0.0416     2.20e-09  |     0.0340     3.31e-09  |     0.0266     4.56e-09  |     0.0192     6.28e-09  |     0.0135     8.54e-09  |     0.0074     1.05e-08  |  
   33     0.1014     1.49e-10  |     0.0882     2.87e-10  |     0.0750     5.23e-10  |     0.0618     9.05e-10  |     0.0519     1.44e-09  |     0.0429     2.27e-09  |     0.0350     3.27e-09  |     0.0274     4.43e-09  |     0.0198     5.93e-09  |     0.0139     8.70e-09  |     0.0076     1.14e-08  |  
   34     0.1045     1.49e-10  |     0.0909     2.88e-10  |     0.0773     5.38e-10  |     0.0636     9.09e-10  |     0.0534     1.38e-09  |     0.0442     2.19e-09  |     0.0361     3.15e-09  |     0.0283     4.82e-09  |     0.0204     6.47e-09  |     0.0143     8.49e-09  |     0.0078     1.17e-08  |  
   35     0.1076     1.49e-10  |     0.0935     2.88e-10  |     0.0795     5.03e-10  |     0.0655     8.69e-10  |     0.0550     1.52e-09  |     0.0456     2.21e-09  |     0.0371     3.29e-09  |     0.0291     4.55e-09  |     0.0210     6.36e-09  |     0.0147     8.30e-09  |     0.0081     1.06e-08  |  
   36     0.1106     1.47e-10  |     0.0962     3.08e-10  |     0.0818     5.24e-10  |     0.0674     9.02e-10  |     0.0566     1.42e-09  |     0.0469     2.22e-09  |     0.0382     3.31e-09  |     0.0299     4.60e-09  |     0.0216     6.27e-09  |     0.0151     8.57e-09  |     0.0083     1.05e-08  |  
   37     0.1137     1.41e-10  |     0.0989     3.05e-10  |     0.0841     5.39e-10  |     0.0693     8.55e-10  |     0.0582     1.43e-09  |     0.0481     2.20e-09  |     0.0393     3.20e-09  |     0.0307     4.61e-09  |     0.0222     6.44e-09  |     0.0156     7.95e-09  |     0.0085     1.10e-08  |  
   38     0.1168     1.55e-10  |     0.1016     2.86e-10  |     0.0863     5.24e-10  |     0.0711     8.62e-10  |     0.0597     1.41e-09  |     0.0495     2.26e-09  |     0.0403     3.20e-09  |     0.0316     4.51e-09  |     0.0228     6.16e-09  |     0.0160     8.46e-09  |     0.0088     1.11e-08  |  
   39     0.1198     1.56e-10  |     0.1042     2.84e-10  |     0.0886     5.43e-10  |     0.0730     9.12e-10  |     0.0613     1.44e-09  |     0.0508     2.07e-09  |     0.0414     3.07e-09  |     0.0324     4.45e-09  |     0.0234     6.20e-09  |     0.0164     8.48e-09  |     0.0090     1.14e-08  |  
   40     0.1229     1.56e-10  |     0.1069     3.01e-10  |     0.0909     5.39e-10  |     0.0749     8.83e-10  |     0.0629     1.42e-09  |     0.0520     2.33e-09  |     0.0424     3.29e-09  |     0.0332     4.45e-09  |     0.0240     6.11e-09  |     0.0168     8.19e-09  |     0.0092     1.08e-08  |  
   41     0.1260     1.49e-10  |     0.1096     2.81e-10  |     0.0932     5.29e-10  |     0.0767     8.70e-10  |     0.0644     1.40e-09  |     0.0534     2.15e-09  |     0.0435     3.17e-09  |     0.0341     4.79e-09  |     0.0246     6.27e-09  |     0.0172     8.44e-09  |     0.0094     1.12e-08  |  
   42     0.1291     1.47e-10  |     0.1123     2.89e-10  |     0.0954     5.38e-10  |     0.0786     8.71e-10  |     0.0660     1.46e-09  |     0.0546     2.15e-09  |     0.0446     3.12e-09  |     0.0349     4.22e-09  |     0.0252     6.16e-09  |     0.0177     8.32e-09  |     0.0097     9.82e-09  |  
   43     0.1321     1.44e-10  |     0.1149     2.88e-10  |     0.0977     5.17e-10  |     0.0805     8.77e-10  |     0.0676     1.44e-09  |     0.0560     2.30e-09  |     0.0456     3.46e-09  |     0.0357     4.63e-09  |     0.0258     6.44e-09  |     0.0181     8.29e-09  |     0.0099     1.13e-08  |  
   44     0.1352     1.44e-10  |     0.1176     2.99e-10  |     0.1000     5.47e-10  |     0.0824     9.40e-10  |     0.0692     1.42e-09  |     0.0573     2.18e-09  |     0.0467     3.35e-09  |     0.0366     4.59e-09  |     0.0264     6.15e-09  |     0.0185     7.94e-09  |     0.0101     1.09e-08  |  
   45     0.1383     1.46e-10  |     0.1203     2.81e-10  |     0.1022     5.20e-10  |     0.0842     9.00e-10  |     0.0707     1.33e-09  |     0.0586     2.27e-09  |     0.0478     3.28e-09  |     0.0374     4.64e-09  |     0.0270     6.22e-09  |     0.0189     8.13e-09  |     0.0104     1.12e-08  |  
   46     0.1414     1.46e-10  |     0.1229     2.99e-10  |     0.1045     5.23e-10  |     0.0861     8.86e-10  |     0.0723     1.37e-09  |     0.0599     2.25e-09  |     0.0488     3.37e-09  |     0.0382     4.46e-09  |     0.0276     6.51e-09  |     0.0193     8.38e-09  |     0.0106     1.11e-08  |  
   47     0.1444     1.56e-10  |     0.1256     3.01e-10  |     0.1068     5.31e-10  |     0.0880     8.79e-10  |     0.0739     1.54e-09  |     0.0612     2.13e-09  |     0.0499     3.12e-09  |     0.0391     4.42e-09  |     0.0282     6.40e-09  |     0.0198     8.68e-09  |     0.0108     1.12e-08  |  
   48     0.1475     1.42e-10  |     0.1283     2.79e-10  |     0.1091     5.16e-10  |     0.0898     9.00e-10  |     0.0754     1.42e-09  |     0.0625     2.19e-09  |     0.0509     3.30e-09  |     0.0399     4.28e-09  |     0.0288     6.11e-09  |     0.0202     8.22e-09  |     0.0111     1.12e-08  |  
   49     0.1506     1.60e-10  |     0.1310     2.82e-10  |     0.1113     5.44e-10  |     0.0917     8.75e-10  |     0.0770     1.47e-09  |     0.0638     2.07e-09  |     0.0520     3.28e-09  |     0.0407     4.51e-09  |     0.0294     5.89e-09  |     0.0206     8.54e-09  |     0.0113     1.05e-08  |  
   50     0.1537     1.51e-10  |     0.1336     2.67e-10  |     0.1136     5.35e-10  |     0.0936     8.83e-10  |     0.0786     1.47e-09  |     0.0651     2.18e-09  |     0.0530     3.19e-09  |     0.0415     4.31e-09  |     0.0300     6.38e-09  |     0.0210     8.24e-09  |     0.0115     1.13e-08  |  
