wavelength,Vr (V),I_photo (A),sigma_photo (A)
1800A,0.0,2.96832867084178e-10,8.732393038870078e-12
1800A,0.02673,2.92190267084178e-10,9.434465864276294e-12
1800A,0.05345,3.04273167084178e-10,9.003828941657523e-12
1800A,0.08018,2.94766667084178e-10,8.931027465686723e-12
1800A,0.10691,3.00657667084178e-10,8.671057207119938e-12
1800A,0.13363,2.66580167084178e-10,9.034458495040508e-12
1800A,0.16036,2.95955267084178e-10,8.95287756185181e-12
1800A,0.18709,2.98146167084178e-10,9.398163040373933e-12
1800A,0.21381,2.78624767084178e-10,8.776861217082199e-12
1800A,0.24054,2.95290167084178e-10,9.67994719474495e-12
1800A,0.26727,2.79893667084178e-10,9.604488575344634e-12
1800A,0.29399,3.01725367084178e-10,9.724444178537385e-12
1800A,0.32072,2.85130167084178e-10,8.612102899756924e-12
1800A,0.34745,2.9203216708417797e-10,8.810027766236074e-12
1800A,0.37417,2.92187267084178e-10,8.397163252486318e-12
1800A,0.4009,2.79530667084178e-10,7.878798733244911e-12
1800A,0.42763,2.73484967084178e-10,8.749299988711933e-12
1800A,0.45435,2.73740567084178e-10,9.594460588320462e-12
1800A,0.48108,2.76045567084178e-10,8.957253005941588e-12
1800A,0.50781,2.97637167084178e-10,8.187540336434477e-12
1800A,0.53453,2.78490567084178e-10,8.537976964894354e-12
1800A,0.56126,2.77631867084178e-10,8.846658364095825e-12
1800A,0.58799,2.65541567084178e-10,9.236673148604242e-12
1800A,0.61471,2.75816167084178e-10,8.970142210011256e-12
1800A,0.64144,2.85484667084178e-10,8.047392409723141e-12
1800A,0.66817,2.74821067084178e-10,8.664278287152462e-12
1800A,0.69489,2.37353767084178e-10,7.638930752142384e-12
1800A,0.72162,2.48866967084178e-10,7.880773237196627e-12
1800A,0.74835,2.53205967084178e-10,8.04144894124968e-12
1800A,0.77508,2.6215686708417797e-10,8.388018911469478e-12
1800A,0.8018,2.67277967084178e-10,7.600318515993039e-12
1800A,0.82853,2.5941276708417797e-10,7.99370135028834e-12
1800A,0.85526,2.4479746708417797e-10,7.579960972703395e-12
1800A,0.88198,2.27112067084178e-10,7.401694465450098e-12
1800A,0.90871,2.45535667084178e-10,7.464288530558396e-12
1800A,0.93544,2.42672867084178e-10,7.11954958332208e-12
1800A,0.96216,2.36187267084178e-10,7.589731574532172e-12
1800A,0.98889,2.33388267084178e-10,7.675247201081838e-12
1800A,1.01562,2.3631746708417797e-10,7.669168799899675e-12
1800A,1.04234,2.32363267084178e-10,7.427914940957968e-12
1800A,1.06907,2.4336816708417797e-10,7.32626942589075e-12
1800A,1.0958,2.31122567084178e-10,7.839506697810112e-12
1800A,1.12252,2.2142496708417798e-10,7.096165427806035e-12
1800A,1.14925,2.23410267084178e-10,6.668597322081054e-12
1800A,1.17598,2.14069567084178e-10,6.8208707924360075e-12
1800A,1.2027,2.1208476708417798e-10,6.5193112959921326e-12
1800A,1.22943,2.12413867084178e-10,7.1744748941972475e-12
1800A,1.25616,2.03719567084178e-10,7.194339934714971e-12
1800A,1.28288,2.1059796708417798e-10,6.651688430272844e-12
1800A,1.30961,1.88849867084178e-10,6.204576359475448e-12
1800A,1.33634,1.9629656708417798e-10,5.883753015148546e-12
1800A,1.36306,1.89047567084178e-10,5.906859479438681e-12
1800A,1.38979,1.83138267084178e-10,5.898572348512952e-12
1800A,1.41652,1.94203567084178e-10,6.032908889610517e-12
1800A,1.44324,1.8478086708417798e-10,6.036293941332015e-12
1800A,1.46997,1.73803767084178e-10,5.491920244752796e-12
1800A,1.4967,1.68229267084178e-10,5.272691035935503e-12
1800A,1.52342,1.73731067084178e-10,5.479668765163329e-12
1800A,1.55015,1.6507186708417799e-10,5.362864397507232e-12
1800A,1.57688,1.64612767084178e-10,4.817069137688872e-12
1800A,1.6036,1.61712367084178e-10,5.159897939211066e-12
1800A,1.63033,1.5721026708417798e-10,4.912071055600337e-12
1800A,1.65706,1.46276667084178e-10,5.203426090066967e-12
1800A,1.68378,1.46629167084178e-10,4.5267069266991e-12
1800A,1.71051,1.38464267084178e-10,4.610995064793131e-12
1800A,1.73724,1.35272267084178e-10,4.442561146751569e-12
1800A,1.76396,1.28965667084178e-10,4.580603389972288e-12
1800A,1.79069,1.3583386708417798e-10,3.833035844152988e-12
1800A,1.81742,1.29320367084178e-10,3.935533109740231e-12
1800A,1.84414,1.17256367084178e-10,4.065467150051346e-12
1800A,1.87087,1.19315967084178e-10,3.6272757086753978e-12
1800A,1.8976,1.10063667084178e-10,3.6147071687606466e-12
1800A,1.92432,1.1303386708417801e-10,3.679007885184484e-12
1800A,1.95105,9.9463087084178e-11,3.26164360929434e-12
1800A,1.97778,9.757264708417801e-11,3.3181475155257355e-12
1800A,2.0045,9.1442717084178e-11,3.1806813489297552e-12
1800A,2.03123,8.8232207084178e-11,2.9039817311840322e-12
1800A,2.05796,8.389203708417801e-11,3.082926291509677e-12
1800A,2.08468,7.3738747084178e-11,2.6913352073739547e-12
1800A,2.11141,7.3168157084178e-11,2.782911996162762e-12
1800A,2.13814,6.940054708417801e-11,2.332904754384458e-12
1800A,2.16486,6.481069708417801e-11,2.2778091521131895e-12
1800A,2.19159,5.7908627084177996e-11,2.3144177058747648e-12
1800A,2.21832,5.4480697084178e-11,2.0091165645752385e-12
1800A,2.24505,5.1079267084178e-11,1.887978087401072e-12
1800A,2.27177,4.7328337084178e-11,1.9195895851201134e-12
1800A,2.2985,4.1550217084178e-11,1.6364991300781707e-12
1800A,2.32523,3.6516727084178e-11,1.4815456381747439e-12
1800A,2.35195,2.9377657084178e-11,1.4898508150531748e-12
1800A,2.37868,2.6169477084178e-11,1.380781848166324e-12
1800A,2.40541,2.1686667084178e-11,1.2940567944652233e-12
1800A,2.43213,1.5808467084177998e-11,1.1266962707836123e-12
1800A,2.45886,1.2326757084178e-11,1.0516000781704513e-12
1800A,2.48559,6.861691084178e-12,1.0349474252385284e-12
1800A,2.51231,1.571990084178e-12,9.985336771434448e-13
1800A,2.53904,2.3860964177999997e-14,1.0003149667908898e-12
1800A,2.56577,-8.59141815822e-13,9.944877102079288e-13
1800A,2.59249,-3.42405815822e-13,1.0537022839577882e-12
1800A,2.61922,-6.8353185822e-14,1.0178602457394724e-12
1800A,2.64595,-2.47268115822e-13,1.0379928134489029e-12
1900A,0.0,5.54977967084178e-10,1.7506859514885176e-11
1900A,0.02272,4.97881867084178e-10,1.62654983540845e-11
1900A,0.04545,5.36444567084178e-10,1.6739975098844248e-11
1900A,0.06817,5.27782067084178e-10,1.618553910052815e-11
1900A,0.09089,5.39252167084178e-10,1.7323979792193407e-11
1900A,0.11361,5.35354667084178e-10,1.6859642384995167e-11
1900A,0.13634,5.152078670841779e-10,1.6738866150902385e-11
1900A,0.15906,5.13622467084178e-10,1.697609422748135e-11
1900A,0.18178,4.92453567084178e-10,1.644958544314797e-11
1900A,0.2045,5.05545867084178e-10,1.7067480385347615e-11
1900A,0.22723,5.253782670841779e-10,1.6614704832052405e-11
1900A,0.24995,5.03597867084178e-10,1.763113250085557e-11
1900A,0.27267,5.08992967084178e-10,1.7373406141347918e-11
1900A,0.2954,5.19044367084178e-10,1.7219852573199505e-11
1900A,0.31812,5.12355067084178e-10,1.588161344857397e-11
1900A,0.34084,5.27820667084178e-10,1.5325690748133527e-11
1900A,0.36356,5.27723967084178e-10,1.7326877226445785e-11
1900A,0.38629,4.970558670841779e-10,1.580667281987976e-11
1900A,0.40901,4.71287067084178e-10,1.5928673988057684e-11
1900A,0.43173,4.87024167084178e-10,1.6643347296440267e-11
1900A,0.45445,4.996121670841779e-10,1.747715531942843e-11
