wavelength,Vr (V),I_photo (A),sigma_photo (A)
2100A,0.5972,1.1527774670841781e-09,3.873611352685535e-11
2100A,0.61291,1.195526467084178e-09,3.9045459218882614e-11
2100A,0.62863,1.137790467084178e-09,3.468934320903071e-11
2100A,0.64434,1.0920164670841781e-09,3.53144377118513e-11
2100A,0.66006,1.1566594670841781e-09,3.41349175419749e-11
2100A,0.67578,1.115361467084178e-09,3.419312429930067e-11
2100A,0.69149,1.081190467084178e-09,3.545744738442723e-11
2100A,0.70721,1.0596264670841782e-09,3.4690572937676096e-11
2100A,0.72292,1.0643154670841782e-09,3.560548624718844e-11
2100A,0.73864,1.065917467084178e-09,3.3559690883353285e-11
2100A,0.75435,1.034398467084178e-09,3.1717010604207727e-11
2100A,0.77007,9.814342670841782e-10,3.379329618447164e-11
2100A,0.78579,9.81256067084178e-10,3.223160692821141e-11
2100A,0.8015,9.509621670841781e-10,3.0234741092647465e-11
2100A,0.81722,9.29905767084178e-10,2.705202455828261e-11
2100A,0.83293,9.651244670841781e-10,2.513225456408409e-11
2100A,0.84865,9.03878367084178e-10,3.1519073184983175e-11
2100A,0.86436,8.99492467084178e-10,2.7002082717455812e-11
2100A,0.88008,8.70137867084178e-10,3.047181275585399e-11
2100A,0.8958,8.72909867084178e-10,2.6846559699647286e-11
2100A,0.91151,8.24732167084178e-10,2.4818878015136494e-11
2100A,0.92723,8.14022867084178e-10,2.677516607941631e-11
2100A,0.94294,8.30955967084178e-10,2.667900183515728e-11
2100A,0.95866,7.90799067084178e-10,2.593997547195112e-11
2100A,0.97437,8.00666067084178e-10,2.5477321417837976e-11
2100A,0.99009,7.39510567084178e-10,2.356759627299156e-11
2100A,1.00581,7.29438767084178e-10,2.097196146066995e-11
2100A,1.02152,7.11835467084178e-10,2.177487432340829e-11
2100A,1.03724,6.83467767084178e-10,2.1673981120475436e-11
2100A,1.05295,6.56803167084178e-10,1.9754522281852972e-11
2100A,1.06867,6.51513167084178e-10,1.9503475429713178e-11
2100A,1.08438,6.00620167084178e-10,1.9596150993953523e-11
2100A,1.1001,6.15063467084178e-10,1.9831919785505528e-11
2100A,1.11582,6.12467267084178e-10,1.919570388693068e-11
2100A,1.13153,5.55525467084178e-10,1.810817536743903e-11
2100A,1.14725,5.70753167084178e-10,1.683167858021967e-11
2100A,1.16296,5.27555267084178e-10,1.674065445440905e-11
2100A,1.17868,5.36383467084178e-10,1.685468702061019e-11
2100A,1.19439,5.00705767084178e-10,1.4645326842167968e-11
2100A,1.21011,4.76825967084178e-10,1.5815883024539778e-11
2100A,1.22583,4.5150436708417797e-10,1.534798554469692e-11
2100A,1.24154,4.18095167084178e-10,1.3919124362524591e-11
2100A,1.25726,4.0618956708417797e-10,1.3892181426306871e-11
2100A,1.27297,3.81603167084178e-10,1.1031000805272639e-11
2100A,1.28869,3.65160767084178e-10,1.1090271774574579e-11
2100A,1.3044,3.47485767084178e-10,1.226798718155206e-11
2100A,1.32012,3.22327867084178e-10,1.006734260375724e-11
2100A,1.33584,3.09038867084178e-10,9.20996288900507e-12
2100A,1.35155,2.85183367084178e-10,8.655053117653848e-12
2100A,1.36727,2.5046796708417797e-10,8.058785486852818e-12
2100A,1.38298,2.32570267084178e-10,7.1183369851837315e-12
2100A,1.3987,2.01806467084178e-10,6.936173345256129e-12
2100A,1.41441,1.79565467084178e-10,5.3555083439320316e-12
2100A,1.43013,1.5903806708417799e-10,5.126475479579085e-12
2100A,1.44585,1.34312867084178e-10,4.580456287203995e-12
2100A,1.46156,1.12043767084178e-10,3.816937137660327e-12
2100A,1.47728,8.872716708417801e-11,2.9692476278662934e-12
2100A,1.49299,6.496381708417801e-11,2.394249470226862e-12
2100A,1.50871,4.0963027084178e-11,1.7605644425884016e-12
2100A,1.52442,1.9535947084177997e-11,1.1260769696585439e-12
2100A,1.54014,-1.15161015822e-13,9.97423270991112e-13
2100A,1.55586,1.07856944178e-13,1.044419659892023e-12
2200A,0.0,2.1390814670841777e-09,7.316403831381866e-11
2200A,0.01301,2.103940467084178e-09,7.185697431548468e-11
2200A,0.02603,2.145597467084178e-09,7.037692201240634e-11
2200A,0.03904,2.286754467084178e-09,6.997850348929966e-11
2200A,0.05205,2.332635467084178e-09,7.314113944981938e-11
2200A,0.06507,2.184817467084178e-09,7.075156203797854e-11
2200A,0.07808,2.190033467084178e-09,6.332863185267328e-11
2200A,0.09109,2.149635467084178e-09,7.588766808649956e-11
2200A,0.1041,2.171934467084178e-09,6.300103365128405e-11
2200A,0.11712,2.107040467084178e-09,7.024737896874035e-11
2200A,0.13013,2.1446514670841778e-09,6.249058807223233e-11
2200A,0.14314,2.205096467084178e-09,6.103291953743264e-11
2200A,0.15616,2.146652467084178e-09,7.031928510428648e-11
2200A,0.16917,2.171853467084178e-09,6.100188175063721e-11
2200A,0.18218,2.1920434670841778e-09,6.17223209522959e-11
2200A,0.1952,2.1554604670841777e-09,7.09741902681554e-11
2200A,0.20821,2.063870467084178e-09,7.029208656508872e-11
2200A,0.22122,2.127678467084178e-09,6.356421631562388e-11
2200A,0.23423,2.0796854670841778e-09,6.856414174691262e-11
2200A,0.24725,2.123344467084178e-09,6.650478164494585e-11
2200A,0.26026,1.980729467084178e-09,6.891439206805371e-11
2200A,0.27327,2.113859467084178e-09,6.379347130619186e-11
2200A,0.28629,2.0694134670841777e-09,6.259206118486773e-11
2200A,0.2993,2.082349467084178e-09,6.542301765051369e-11
2200A,0.31231,2.019219467084178e-09,6.480340644976872e-11
2200A,0.32533,2.126627467084178e-09,5.781739145670467e-11
2200A,0.33834,1.9389314670841778e-09,6.800684347667832e-11
2200A,0.35135,1.933691467084178e-09,6.251614633538943e-11
2200A,0.36436,2.0533314670841777e-09,5.976356192691516e-11
2200A,0.37738,1.968734467084178e-09,6.404876471847233e-11
2200A,0.39039,2.018865467084178e-09,5.907407377516998e-11
2200A,0.4034,1.966519467084178e-09,5.604290684793862e-11
2200A,0.41642,1.887284467084178e-09,5.971056586963672e-11
2200A,0.42943,1.827416467084178e-09,6.074082045560733e-11
2200A,0.44244,1.916672467084178e-09,5.962707209550227e-11
2200A,0.45546,1.856874467084178e-09,6.112915268964494e-11
2200A,0.46847,1.8145374670841781e-09,6.01025068750541e-11
2200A,0.48148,1.833994467084178e-09,5.91495880376848e-11
2200A,0.49449,1.778024467084178e-09,5.918884506076653e-11
2200A,0.50751,1.764420467084178e-09,5.6579971881366516e-11
2200A,0.52052,1.7721594670841781e-09,5.392530287687058e-11
2200A,0.53353,1.779377467084178e-09,5.5139274482980146e-11
2200A,0.54655,1.6834554670841782e-09,6.016044262120023e-11
2200A,0.55956,1.737330467084178e-09,5.154042069085899e-11
2200A,0.57257,1.6918854670841781e-09,5.424644373062925e-11
2200A,0.58559,1.6850044670841781e-09,4.9494333642132466e-11
2200A,0.5986,1.562567467084178e-09,5.0151883311057473e-11
2200A,0.61161,1.600037467084178e-09,4.864051780379631e-11
2200A,0.62462,1.5924234670841781e-09,5.00803808694006e-11
2200A,0.63764,1.484683467084178e-09,4.4639807005826375e-11
2200A,0.65065,1.582766467084178e-09,5.1197025241740616e-11
2200A,0.66366,1.574684467084178e-09,4.594646785873671e-11
2200A,0.67668,1.523183467084178e-09,4.603185713944122e-11
2200A,0.68969,1.445286467084178e-09,4.123695782290718e-11
2200A,0.7027,1.3105074670841782e-09,4.2656193595053994e-11
2200A,0.71572,1.402474467084178e-09,4.384848434464669e-11
2200A,0.72873,1.363950467084178e-09,4.633136985269727e-11
2200A,0.74174,1.351678467084178e-09,3.9986469184546986e-11
2200A,0.75475,1.280808467084178e-09,4.218266346966163e-11
2200A,0.76777,1.257514467084178e-09,4.411470780288503e-11
2200A,0.78078,1.179970467084178e-09,4.064714125482782e-11
2200A,0.79379,1.236277467084178e-09,3.666313110892093e-11
2200A,0.80681,1.1479504670841782e-09,3.8167475652553e-11
2200A,0.81982,1.166152467084178e-09,3.669575467010081e-11
2200A,0.83283,1.151467467084178e-09,3.4887259782624454e-11
2200A,0.84585,1.101155467084178e-09,3.454647486621356e-11
2200A,0.85886,1.070035467084178e-09,3.462800676812666e-11
2200A,0.87187,1.034222467084178e-09,3.266624730440008e-11
2200A,0.88488,1.0303654670841781e-09,3.123353021223707e-11
2200A,0.8979,9.75592067084178e-10,3.086883066574965e-11
2200A,0.91091,9.44833867084178e-10,2.8489819080994978e-11
2200A,0.92392,8.80484467084178e-10,2.800648996139869e-11
2200A,0.93694,8.87930667084178e-10,2.7557234563319767e-11
2200A,0.94995,8.28608667084178e-10,2.9429291494881856e-11
2200A,0.96296,8.29081267084178e-10,2.4806493358431894e-11
2200A,0.97598,7.83921867084178e-10,2.431215108810254e-11
2200A,0.98899,7.28924667084178e-10,2.1934565495341494e-11
2200A,1.002,7.22687267084178e-10,2.4234805958379896e-11
2200A,1.01502,6.99778867084178e-10,2.1686054296112182e-11
2200A,1.02803,6.461492670841779e-10,2.10166445251835e-11
2200A,1.04104,6.33796667084178e-10,1.8235512877907374e-11
2200A,1.05405,5.66760267084178e-10,1.716510181020566e-11
2200A,1.06707,5.63970467084178e-10,1.60031163442695e-11
2200A,1.08008,4.78820467084178e-10,1.6756669277939024e-11
2200A,1.09309,4.84182467084178e-10,1.4969803247251636e-11
2200A,1.10611,4.4059556708417797e-10,1.4546989600282445e-11
2200A,1.11912,4.0950066708417797e-10,1.2397500540944762e-11
2200A,1.13213,3.67639967084178e-10,1.1692994179880772e-11
2200A,1.14515,3.43468867084178e-10,1.1603270243975429e-11
2200A,1.15816,3.00476167084178e-10,8.684249454052413e-12
2200A,1.17117,2.6586546708417797e-10,7.693817156652126e-12
2200A,1.18418,2.34225867084178e-10,7.39022354144187e-12
2200A,1.1972,2.11075067084178e-10,5.9502073291022056e-12
2200A,1.21021,1.62025967084178e-10,5.41154194509491e-12
2200A,1.22322,1.23910067084178e-10,4.298396995849221e-12
2200A,1.23624,9.0270717084178e-11,2.924434789409162e-12
2200A,1.24925,5.7396657084177996e-11,2.1838879773987054e-12
2200A,1.26226,2.0448757084177997e-11,1.2508210531285478e-12
2200A,1.27528,1.116279084178e-12,1.0463779244794201e-12
2200A,1.28829,-4.59656215822e-13,9.635742397732564e-13
2300A,0.0,3.373485467084178e-09,9.473466213629214e-11
2300A,0.01061,3.2963524670841777e-09,9.688846984368535e-11
2300A,0.02122,3.4168674670841777e-09,1.0035434521687551e-10
2300A,0.03183,3.292184467084178e-09,1.0501212788615336e-10
2300A,0.04244,3.289754467084178e-09,9.650607070044984e-11
2300A,0.05305,3.188078467084178e-09,9.837312849250411e-11
2300A,0.06366,3.268132467084178e-09,1.0402595185134249e-10
2300A,0.07427,3.128992467084178e-09,9.350836888535017e-11
2300A,0.08488,3.141894467084178e-09,1.0161581237808327e-10
2300A,0.0955,3.0083364670841778e-09,9.214212098055604e-11
2300A,0.10611,3.202712467084178e-09,1.1144948187150906e-10
2300A,0.11672,3.243266467084178e-09,9.988551763292527e-11
2300A,0.12733,3.130058467084178e-09,1.0942482594355736e-10
2300A,0.13794,2.984650467084178e-09,9.385701833946103e-11
2300A,0.14855,3.085593467084178e-09,9.473043226141599e-11
2300A,0.15916,3.242167467084178e-09,9.435995326406972e-11
2300A,0.16977,3.208073467084178e-09,1.0677148623119295e-10
2300A,0.18038,3.364767467084178e-09,1.029287790535661e-10
2300A,0.19099,2.966573467084178e-09,9.547222048811594e-11
2300A,0.2016,3.0213354670841777e-09,9.660292794242949e-11
2300A,0.21221,3.231450467084178e-09,9.009815634052633e-11
2300A,0.22282,3.172795467084178e-09,9.10882043153883e-11
2300A,0.23343,3.015835467084178e-09,9.156254921713532e-11
2300A,0.24404,3.230443467084178e-09,1.0678048602164079e-10
2300A,0.25465,2.980112467084178e-09,1.0130282044966873e-10
2300A,0.26527,2.971340467084178e-09,9.251901924383075e-11
2300A,0.27588,3.000373467084178e-09,9.64300328695175e-11
2300A,0.28649,2.869516467084178e-09,9.460726590970393e-11
2300A,0.2971,2.871025467084178e-09,8.579257421064031e-11
2300A,0.30771,2.8833334670841778e-09,8.963961141281418e-11
2300A,0.31832,2.811950467084178e-09,9.610811209070921e-11
2300A,0.32893,2.772460467084178e-09,9.309360153404917e-11
2300A,0.33954,2.6849504670841777e-09,9.30395231915272e-11
2300A,0.35015,2.830325467084178e-09,7.951722840963412e-11
2300A,0.36076,2.8830504670841777e-09,8.837823368098462e-11
2300A,0.37137,2.730914467084178e-09,8.601796610262431e-11
2300A,0.38198,2.513758467084178e-09,9.702706592990806e-11
2300A,0.39259,2.855041467084178e-09,8.304923642454171e-11
2300A,0.4032,2.649982467084178e-09,8.15036770409423e-11
2300A,0.41381,2.5118884670841777e-09,7.927572857995204e-11
2300A,0.42442,2.720084467084178e-09,7.919493199639876e-11
2300A,0.43504,2.465927467084178e-09,8.650544871094667e-11
2300A,0.44565,2.4671744670841777e-09,8.014614221175418e-11
2300A,0.45626,2.554767467084178e-09,8.062086270763123e-11
2300A,0.46687,2.449014467084178e-09,7.929228788060933e-11
2300A,0.47748,2.451880467084178e-09,6.915824848465963e-11
2300A,0.48809,2.371715467084178e-09,7.306569319770686e-11
2300A,0.4987,2.3478374670841777e-09,7.447276454958433e-11
2300A,0.50931,2.224187467084178e-09,7.103244720043036e-11
2300A,0.51992,2.322554467084178e-09,6.907810293838001e-11
2300A,0.53053,2.2030524670841778e-09,7.104535652132534e-11
2300A,0.54114,2.142123467084178e-09,7.310869106078583e-11
2300A,0.55175,2.087642467084178e-09,6.913626970500162e-11
2300A,0.56236,2.139660467084178e-09,6.03251705709211e-11
2300A,0.57297,2.0641574670841777e-09,6.220211777456075e-11
2300A,0.58358,1.964438467084178e-09,6.26629963834752e-11
2300A,0.59419,1.991059467084178e-09,6.637140966655693e-11
2300A,0.6048,1.939404467084178e-09,6.677217565916079e-11
2300A,0.61542,1.845614467084178e-09,6.408179258213932e-11
2300A,0.62603,1.879286467084178e-09,6.01930902277016e-11
2300A,0.63664,1.7928284670841781e-09,5.5760200865952994e-11
2300A,0.64725,1.7872974670841781e-09,5.7274075015939156e-11
2300A,0.65786,1.677378467084178e-09,5.1914173605109285e-11
2300A,0.66847,1.752848467084178e-09,5.4802044112038614e-11
2300A,0.67908,1.687783467084178e-09,4.9013556260257476e-11
2300A,0.68969,1.639061467084178e-09,4.884687474436236e-11
2300A,0.7003,1.567437467084178e-09,4.82464623857483e-11
2300A,0.71091,1.431618467084178e-09,5.02003581991476e-11
2300A,0.72152,1.483822467084178e-09,5.025658228240183e-11
2300A,0.73213,1.402433467084178e-09,4.2750569853832656e-11
2300A,0.74274,1.3730654670841782e-09,4.0741196174391166e-11
2300A,0.75335,1.303196467084178e-09,4.171723369513762e-11
2300A,0.76396,1.245396467084178e-09,3.7343149223109526e-11
2300A,0.77457,1.2145874670841781e-09,4.0249555781144035e-11
2300A,0.78519,1.165933467084178e-09,3.626337094949014e-11
2300A,0.7958,1.130257467084178e-09,3.7713949312766563e-11
2300A,0.80641,1.027011467084178e-09,3.335750884314243e-11
2300A,0.81702,9.75958467084178e-10,3.296288414788253e-11
2300A,0.82763,9.71468567084178e-10,3.118642305532851e-11
2300A,0.83824,9.07414967084178e-10,2.9734658818468486e-11
2300A,0.84885,8.67471567084178e-10,2.773131406272385e-11
2300A,0.85946,8.14429267084178e-10,2.4276846977025777e-11
2300A,0.87007,7.60231567084178e-10,2.6040246043774735e-11
2300A,0.88068,7.10759967084178e-10,2.322815099348688e-11
2300A,0.89129,6.71634767084178e-10,1.8835578579067477e-11
2300A,0.9019,5.96046667084178e-10,1.9113943104977728e-11
2300A,0.91251,5.39049467084178e-10,1.718461422678512e-11
2300A,0.92312,4.80552467084178e-10,1.3672359291750844e-11
2300A,0.93373,4.59995167084178e-10,1.3899191768740569e-11
2300A,0.94434,3.9063166708417797e-10,1.2997928978030523e-11
2300A,0.95495,3.38604867084178e-10,1.0267277153653037e-11
2300A,0.96557,3.05415567084178e-10,9.685020767564446e-12
2300A,0.97618,2.50284367084178e-10,7.990860231406042e-12
2300A,0.98679,1.85524367084178e-10,6.276178211136662e-12
2300A,0.9974,1.35688367084178e-10,4.063589075032761e-12
2300A,1.00801,8.1831157084178e-11,2.8768134590073108e-12
2300A,1.01862,3.0945527084178e-11,1.4009282083139052e-12
2300A,1.02923,-1.8767921582200002e-13,1.0340231219024888e-12
2300A,1.03984,-2.507471915822e-12,1.0187361805288205e-12
2300A,1.05045,-2.05207815822e-13,1.0038573497991928e-12
2400A,0.0,4.632593467084178e-09,1.4695420639361713e-10
2400A,0.00831,4.371168467084178e-09,1.364033461208992e-10
2400A,0.01662,4.503347467084179e-09,1.3622334869242432e-10
2400A,0.02492,4.5029604670841786e-09,1.3797532394808073e-10
2400A,0.03323,4.450903467084178e-09,1.4396984383897147e-10
2400A,0.04154,4.310447467084179e-09,1.330907945594203e-10
2400A,0.04985,4.373968467084178e-09,1.4281095880158438e-10
2400A,0.05816,4.362141467084178e-09,1.45031830337405e-10
2400A,0.06647,4.5447564670841785e-09,1.3812672183925102e-10
2400A,0.07477,4.883900467084179e-09,1.3969270029481794e-10
2400A,0.08308,4.429826467084178e-09,1.5136705373068414e-10
2400A,0.09139,4.731165467084178e-09,1.6102524854189117e-10
2400A,0.0997,4.5624874670841785e-09,1.553527087373047e-10
2400A,0.10801,4.519203467084178e-09,1.4381624580824596e-10
2400A,0.11632,4.642438467084178e-09,1.456817221720962e-10
2400A,0.12462,4.5895674670841784e-09,1.398176985959139e-10
2400A,0.13293,4.461103467084178e-09,1.385558158874171e-10
2400A,0.14124,4.3547964670841785e-09,1.4020869330129936e-10
2400A,0.14955,4.406588467084179e-09,1.343138763964015e-10
2400A,0.15786,4.483597467084179e-09,1.3960040155124134e-10
2400A,0.16617,4.2920544670841786e-09,1.3806782265911138e-10
2400A,0.17447,4.155727467084178e-09,1.2145568563582287e-10
2400A,0.18278,4.332852467084178e-09,1.3529716203253425e-10
2400A,0.19109,4.322970467084179e-09,1.3513476439043293e-10
2400A,0.1994,4.294378467084178e-09,1.3710913610280617e-10
2400A,0.20771,4.233436467084178e-09,1.4117538033689807e-10
2400A,0.21602,4.154388467084178e-09,1.2758918056570403e-10
2400A,0.22432,4.053722467084178e-09,1.2987574393514684e-10
2400A,0.23263,4.055947467084178e-09,1.2220577222037355e-10
2400A,0.24094,3.930416467084178e-09,1.472548027061183e-10
2400A,0.24925,3.987248467084178e-09,1.2995184273821526e-10
2400A,0.25756,3.840875467084178e-09,1.3728143367283074e-10
2400A,0.26587,4.023620467084178e-09,1.3096712690224149e-10
2400A,0.27417,3.9827494670841785e-09,1.231286559386881e-10
2400A,0.28248,3.815393467084178e-09,1.0912123269308235e-10
2400A,0.29079,3.6466604670841777e-09,1.1586899101963313e-10
2400A,0.2991,3.788784467084178e-09,1.1032200621443496e-10
2400A,0.30741,3.786553467084178e-09,1.2045670376225568e-10
2400A,0.31572,3.595505467084178e-09,1.2318925487812572e-10
2400A,0.32402,3.6194424670841777e-09,1.1004311231289229e-10
2400A,0.33233,3.677907467084178e-09,1.0581890861267577e-10
2400A,0.34064,3.5914904670841778e-09,1.1853603947094665e-10
2400A,0.34895,3.4592514670841777e-09,1.0659829027080043e-10
2400A,0.35726,3.378554467084178e-09,1.0792715960826462e-10
2400A,0.36557,3.5935974670841778e-09,1.0629649734124745e-10
2400A,0.37387,3.505894467084178e-09,1.0954462329050122e-10
2400A,0.38218,3.359602467084178e-09,1.0897073605288636e-10
2400A,0.39049,3.294212467084178e-09,1.0893433686688429e-10
2400A,0.3988,3.111876467084178e-09,9.719601117420522e-11
2400A,0.40711,3.165319467084178e-09,9.455278752643005e-11
2400A,0.41542,3.184852467084178e-09,9.590319799257335e-11
2400A,0.42372,3.148624467084178e-09,8.78341822866441e-11
2400A,0.43203,3.068842467084178e-09,8.809023350148542e-11
2400A,0.44034,3.0450284670841778e-09,8.983805487112811e-11
2400A,0.44865,2.864886467084178e-09,9.514017019262802e-11
2400A,0.45696,2.9040434670841778e-09,8.353137797413511e-11
2400A,0.46527,2.705055467084178e-09,8.918731643150514e-11
2400A,0.47357,2.776084467084178e-09,8.741257686414138e-11
2400A,0.48188,2.682483467084178e-09,9.369789314291664e-11
2400A,0.49019,2.643546467084178e-09,7.6275880281894e-11
2400A,0.4985,2.535938467084178e-09,7.215899885198121e-11
2400A,0.50681,2.562757467084178e-09,7.062688866157651e-11
2400A,0.51512,2.299822467084178e-09,7.556841286561354e-11
2400A,0.52342,2.377819467084178e-09,7.55566434128378e-11
2400A,0.53173,2.213680467084178e-09,7.482529775470543e-11
2400A,0.54004,2.295600467084178e-09,7.384380491186736e-11
2400A,0.54835,2.208285467084178e-09,6.841681008496907e-11
2400A,0.55666,2.1204084670841777e-09,6.786866142469826e-11
2400A,0.56496,2.0947214670841777e-09,6.269702408409768e-11
2400A,0.57327,1.939527467084178e-09,6.210866419663141e-11
2400A,0.58158,1.9523184670841777e-09,5.868119386402023e-11
2400A,0.58989,1.8232984670841781e-09,6.038904591596331e-11
2400A,0.5982,1.7617584670841781e-09,5.1941520912521666e-11
2400A,0.60651,1.730401467084178e-09,5.96721587313709e-11
2400A,0.61481,1.5807794670841781e-09,5.5001976502125135e-11
2400A,0.62312,1.591329467084178e-09,4.7713283880028895e-11
2400A,0.63143,1.483145467084178e-09,4.425100926439899e-11
2400A,0.63974,1.410188467084178e-09,4.591064236794586e-11
2400A,0.64805,1.351685467084178e-09,4.4027319749014086e-11
2400A,0.65636,1.2979974670841782e-09,4.0866326219110104e-11
2400A,0.66466,1.224823467084178e-09,3.472197601471906e-11
2400A,0.67297,1.1762984670841782e-09,3.4884110469780156e-11
2400A,0.68128,1.0392024670841781e-09,3.879273352201319e-11
2400A,0.68959,9.39504067084178e-10,3.042967482442633e-11
2400A,0.6979,9.36665767084178e-10,3.0902861191979064e-11
2400A,0.70621,8.17763767084178e-10,2.574955119600001e-11
2400A,0.71451,7.42339367084178e-10,2.294631146579828e-11
2400A,0.72282,6.92063567084178e-10,2.136063094240958e-11
2400A,0.73113,6.18971867084178e-10,1.9466271469768566e-11
2400A,0.73944,5.67403867084178e-10,1.7171875701446407e-11
2400A,0.74775,4.51352867084178e-10,1.4382029303663151e-11
2400A,0.75606,3.8163416708417797e-10,1.2994095018135184e-11
2400A,0.76436,3.3952456708417797e-10,1.0420186338075995e-11
2400A,0.77267,2.35825367084178e-10,7.618745455332828e-12
2400A,0.78098,1.70721967084178e-10,5.269572266507179e-12
2400A,0.78929,9.702962708417801e-11,3.02307062713305e-12
2400A,0.7976,2.2488487084178e-11,1.1511393922056612e-12
2400A,0.80591,2.76139384178e-13,1.0332915543226942e-12
2400A,0.81421,-2.83442615822e-13,1.0181817048814268e-12
2400A,0.82252,-3.39797715822e-13,9.85210812893575e-13
2500A,0.0,6.252715467084178e-09,1.8778261363730621e-10
2500A,0.00601,6.588023467084178e-09,2.1284584717625532e-10
2500A,0.01201,6.317007467084178e-09,1.8746401603981986e-10
2500A,0.01802,6.450247467084178e-09,2.1130355627936748e-10
2500A,0.02402,6.111558467084178e-09,2.0223401261980591e-10
2500A,0.03003,6.381800467084179e-09,1.9580165574148715e-10
2500A,0.03604,6.170570467084178e-09,2.015389171469814e-10
2500A,0.04204,5.947879467084178e-09,2.0858927262689666e-10
2500A,0.04805,6.106843467084178e-09,1.9293657587419195e-10
2500A,0.05405,5.947797467084179e-09,1.9016929589559885e-10
2500A,0.06006,6.1205864670841785e-09,1.932175738732319e-10
2500A,0.06607,6.381516467084178e-09,2.095069670524296e-10
2500A,0.07207,6.115452467084178e-09,1.8281375206014405e-10
2500A,0.07808,6.198266467084178e-09,2.0124451907383176e-10
2500A,0.08408,6.1587574670841785e-09,1.9701874736627942e-10
2500A,0.09009,6.0997834670841786e-09,1.8280615212051216e-10
2500A,0.0961,5.975843467084179e-09,1.8565182986218539e-10
2500A,0.1021,6.095931467084178e-09,1.9260037827589494e-10
2500A,0.10811,6.088663467084178e-09,1.990532335950055e-10
2500A,0.11411,5.8282164670841786e-09,1.9512286045788644e-10
2500A,0.12012,6.111920467084178e-09,2.052706932013867e-10
2500A,0.12613,5.932444467084178e-09,1.958903551276015e-10
2500A,0.13213,5.8855764670841785e-09,1.908341910320523e-10
2500A,0.13814,5.9553874670841786e-09,1.8439273962579934e-10
2500A,0.14414,5.917518467084178e-09,1.608892499354069e-10
2500A,0.15015,5.631687467084178e-09,1.770136996389201e-10
2500A,0.15616,5.7267034670841784e-09,1.6722148745609168e-10
2500A,0.16216,5.7548944670841784e-09,1.77055899281492e-10
2500A,0.16817,6.112283467084179e-09,1.802004731181853e-10
2500A,0.17417,5.750515467084178e-09,1.9115548869396304e-10
2500A,0.18018,5.566757467084178e-09,1.9361237107173142e-10
2500A,0.18619,5.5354124670841785e-09,1.750106168031752e-10
2500A,0.19219,5.329093467084178e-09,1.6915326932669033e-10
2500A,0.1982,5.3319694670841785e-09,1.6427111596768259e-10
2500A,0.2042,5.548844467084178e-09,1.6816447855426494e-10
2500A,0.21021,5.590208467084178e-09,1.632462261131259e-10
2500A,0.21622,5.2054264670841785e-09,1.5795128062531757e-10
2500A,0.22222,5.135544467084178e-09,1.5888607073742438e-10
2500A,0.22823,4.917279467084178e-09,1.6162574241694243e-10
2500A,0.23423,5.205184467084178e-09,1.6589240017450417e-10
2500A,0.24024,4.9761434670841785e-09,1.721653418707082e-10
2500A,0.24625,5.110473467084178e-09,1.6635709570459515e-10
2500A,0.25225,4.989335467084178e-09,1.7071205499690942e-10
2500A,0.25826,4.945063467084178e-09,1.5468751608535777e-10
2500A,0.26426,4.8098384670841784e-09,1.518110486015686e-10
2500A,0.27027,4.563655467084179e-09,1.4561422301677066e-10
2500A,0.27628,4.710991467084179e-09,1.4739270101951394e-10
2500A,0.28228,4.701840467084178e-09,1.4911178025567874e-10
2500A,0.28829,4.322644467084178e-09,1.439391442322339e-10
2500A,0.29429,4.369690467084178e-09,1.4089658405762656e-10
2500A,0.3003,4.116252467084179e-09,1.231483555938033e-10
2500A,0.30631,4.282670467084178e-09,1.2998364223846717e-10
2500A,0.31231,4.445069467084178e-09,1.2856566476310005e-10
2500A,0.31832,4.345336467084178e-09,1.3633134714869442e-10
2500A,0.32432,4.092967467084178e-09,1.2409293918534538e-10
2500A,0.33033,3.883407467084178e-09,1.2892725897209567e-10
2500A,0.33634,4.075519467084178e-09,1.22996558254196e-10
2500A,0.34234,4.033502467084178e-09,1.234232507926599e-10
2500A,0.34835,3.841170467084178e-09,1.1018720915813153e-10
2500A,0.35435,3.640593467084178e-09,1.1389453073724756e-10
2500A,0.36036,3.492320467084178e-09,1.1122918658903257e-10
2500A,0.36637,3.485733467084178e-09,1.1507530682130648e-10
2500A,0.37237,3.436152467084178e-09,1.1216046677251226e-10
2500A,0.37838,3.341193467084178e-09,1.0618429998007155e-10
2500A,0.38438,3.4297874670841777e-09,1.0557381443666714e-10
2500A,0.39039,3.142103467084178e-09,1.0881643950717108e-10
2500A,0.3964,3.172294467084178e-09,9.641214338033318e-11
2500A,0.4024,3.254694467084178e-09,9.325983645105715e-11
2500A,0.40841,2.941969467084178e-09,9.296282554558422e-11
2500A,0.41441,3.0304774670841778e-09,9.009312650502382e-11
2500A,0.42042,2.777925467084178e-09,8.128253590255858e-11
2500A,0.42643,2.6728764670841778e-09,8.541332794983593e-11
2500A,0.43243,2.7074974670841777e-09,8.062351259940382e-11
2500A,0.43844,2.452663467084178e-09,7.629879923642459e-11
2500A,0.44444,2.4474064670841777e-09,7.935121539431343e-11
2500A,0.45045,2.375505467084178e-09,7.175756943343834e-11
2500A,0.45646,2.210117467084178e-09,7.235295898940088e-11
2500A,0.46246,2.134097467084178e-09,6.639029852853372e-11
2500A,0.46847,2.0759694670841777e-09,6.550036285879588e-11
